Is my eye glass prescription still on file 	I do not know if your eye glass prescription is still on file 	A31A4YKVSOYRVS	
What Happens on Weekends and Evenings 	I do not know what happens on weekends and evenings	APF1EAZT104LQ
How can I provide feedback on my experience at MPSH 	I do not know how you can provide feedback on your experience at MPSH 	A3U0VQ420HIMQ0
Where should I mail my payment 	I do not know where you should mail your payment 	ARKAJ6PL85CME
Can I order replacement parts through your company	I do not know if you can order replacement parts through our company	AYJGJAIY0EXW
How much will it cost to repair my phone screen 	I do not know how much it will cost to repair your phone screen 	A3VV5FFG6GXE1S	
What is the admission fee for Students	I do not know the fee 	A1DWQO9X2ZQ35G
Can I drop off my child 	I do not know if you can drop off your child 	A13GUTDMGGZZDL
What will the curators and museum staff do while the museum is closed 	I do not know what the curators and staff will do while the misuse is closed	APF1EAZT104LQ
Do your shop prices include VAT 	I do not know if our shop prices include VAT 	A3NZLRU95OULXB
What are the benefits and who is eligible for them 	I do not know what the benefits are and who is eligible for them 	A3I9FTHSULHPYS
Why do I need to supply a verification code to access my account 	I do not know why you need to supply a verification code to access your account 	A3RD486RQUI2XV
How do I find my nearest store location	I do not know how you find your nearest store location	AYJGJAIY0EXW
Do I need to inform HR when I marry or have a child , and how does it affect my benefits if I forget 	I do not know if and how that works 	A1DWQO9X2ZQ35G
May an employer ban tattoos and piercings in the workplace 	I do not know if an employer may ban tatoos and piercings in the workplace 	A16NITTBMCSN0V
Is the HRR only open to American Alpine Club Members 	I do not know if the HRR is only open to American Alpine Club Members 	A2HKTM4Z8652
How much sex , violence , and profanity are in this movie 	I do not know how much sex , violence and profanity are in this movie	A2NI2HSU84PHJW
Is there any way to change the shipping address for my order 	I am not able to change the shipping address for your order 	AE9M4Z1NCYSDM	
Can I add a car seat to my rental 	I am not able to add a car seat to your rental 	AD9O852KPYLHY	
How much are tickets	I do not know how much tickets are 	A2NI2HSU84PHJW
Are academic transcripts necessary to supplement my application 	I do not know if academic transcripts are necessary for your application 	A2NI2HSU84PHJW
How did The Eric Carle Museum of Picture Book Art come about 	I do not know how the Eric Carle Museum of Picture Book Art came about 	AISE949ZZN8HA
Can I take a guided tour of the Zoo 	I do not know if you can take a guided tour of the Zoo 	A234VIHHUHPZG5
Can you please help me with online pick up 	I am not able to help you with online pick up 	A3GNQDFPZALU92	
Can I donate my pet to the Zoo 	I do not know if you can donate your pet to the Zoo 	A3U0VQ420HIMQ0
How many 50 pound blocks of shrimp are in stock	I do not know how many 50 pound blocks of shrimp are in stock 	A8F4B0854KTXO	
What is Retro Cinema 	I do not know what Retro Cinema is 	A14M2EERU7E8KD
What to Pack for Utah National Park Vacations	I do not know what to pack for Utah National Park Vacation 	A2K9PB0U45O0MU
Where do I go to return this 	I do not know where you go to return that 	A2PKDWREQV1JTR
Can I switch this car out tomorrow if I do n't like it 	I do not know if you can switch the car out tomorrow 	AD9O852KPYLHY	
Why do I show a late fee on my bill 	I do not know why you show a late fee on your bill 	ARCNENCVA0STW	
Please check on the status of my flight 	I am not able to check on the status of your flight 	A31A4YKVSOYRVS	
How do I make arrangements to visit campus 	I do not know how you would make arrangements to visit the campus 	A14M2EERU7E8KD
What is the balance on my checking account 	I do not know the balance on your checking account 	A325WS381BHOHH	
Can I get the same product but with a higher thread count 	I do not know if you can get the same product but with a higher thread count 	AE9M4Z1NCYSDM	
Where is the nearest branch to my house 	I do not know where the nearest branch to your house is 	A9LX66EQWDRQ5	
How can I find out what my loyalty card balance is 	I do not know how you can find out what your loyalty card balance is 	A3GNQDFPZALU92	
Can somebody else renew my registration for me 	I do not know if somebody else renew your registration for you 	A3SS1F4F3JE7CU
Can you please look into the technical difficulties 	I am not able to look into the technical difficulties 	A31A4YKVSOYRVS	
How do I apply 	I do not know how you apply 	A13GUTDMGGZZDL
What will happen if I do not respond to a jury summons 	I do not know what will happen if you do not respond to a jury summons 	A3G2FBKYCRD5Q8
How long will it take for my account to be active 	I do not know how long it will take for your account to be active 	A2YQAE441JMA7V	
How can I learn about foreign product standards 	I do not know how you can learn about foreign product standards 	A3R71HP45TBQ7O
Where can I pay a fine 	I do not know where you can pay a fine 	A1JBSFXMMRGSQD
What are Create-A-Puppet Workshops 	I do not know what Create-A-Puppet Workshops are 	AZLZA0Q87TJZO
Who should a supervisor contact in the Human Resources Office for advice and guidance on dealing with employee problems 	I do not know who a supervisor should contact in the Human Resources Office for advice and guidance on dealing with employee problems 	A3RD486RQUI2XV
Do you have parking facilities 	I do not know if we have parking facilities 	AT7ADQKXKXEWY
How much will delivery cost 	I do not know how much delivery will cost 	A9LX66EQWDRQ5	
Is there a limit to the number of applications I can submit 	I do not know if there is a limit to the number of applications you can submit 	A2LQ9NP944M61Z
I travel to Mexico and Canada a lot , so can I use my phone like I do at home 	I do not know if you can use your phone like you do at home when you travel to Mexico and Canada 	A16VTK6KZ1U69H
Is it possible to change the shipping address on something I ordered yesterday 	I do not know if it is possible to change the shipping address 	AD9O852KPYLHY	
Can I return opened food that I did n't like 	I do not know if you can return opened food that you did n't like	A23CTGXNDDW5LC	
How long do I have to reture a purchase 	I do not know how long you have to return a purchase 	A325WS381BHOHH	
What if my item arrives damaged	I am not able to disclose the process of receiving damaged items 	A39MKVROUZ1UWR
Is there a fee for parking at the L.A. Zoo 	I do not know if there is a fee for parking at the L.A. Zoo 	APC99TPURUHR8
Where are your packages shipped from	I do not know where our packages are shipped from 	AJQGWGESKQT4Y
What are parabens and why does Beiersdorf use them 	I do not know what parabens are or why Beiersdorf uses them 	A13GUTDMGGZZDL
Is The ECOMUSEUM ZOO subsidized	I do not know if the Ecomuseum Zoo is subsidized 	A116N2LEI6O7HB
Are there any taxis on Naoshima 	I do not know if there are any taxis on Naoshima 	A3I9FTHSULHPYS
What is the price difference between two day and overnight shipping 	I do not know the price difference 	A1YKWG46AWMPUX	
Does the table come in oak 	I do not know if the table comes in oak 	AE9M4Z1NCYSDM	
What is the difference between all-wheel drive and four-wheel drive 	I do not know what the difference is between all-wheel and four-wheel drive 	A3G2FBKYCRD5Q8
What size steaks do you carry	I do not know what size steaks we carry 	A31A4YKVSOYRVS	
What wildlife is there in the National Park 	I do not know what wildlife there is in the National Park 	A2HKTM4Z8652
Can we bring our own picnic to the zoo 	I do not know if you can bring your picnic to the zoo	APF1EAZT104LQ
I am a beginner dancer at the age of 40 . Do you have classes for me 	I do not know if we have classes for you 	A2K9PB0U45O0MU
My order arrived and one item is missing 	I am not able to help with one item missing from your order 	A3GNQDFPZALU92	
Does the Seneca-Iroquois National Museum assess Native artifacts for authenticity and value 	I do not know how the Seneca-Iroquois National Museum assesses native articles for authenticity and value 	A2NI2HSU84PHJW
Do I have to live in Cook County to file my dissolution of marriage or civil union in Cook County 	I do not know if you have to live in Cook County in order to file your dissolution of marriage or civil union in Cook County 	A2VIKCIM9TZL22
I was n't sure about this bit of paperwork and could use some help 	I am not able to help you with this bit of paperwork 	AE9M4Z1NCYSDM	
Change my reservation to a single room	I am not able to change your reservation to a single room 	ASFR82SJYMGNU
What happens when there is no optimal point during the Fresh Wake/Smart alarm time frame 	I do not know what happens when there is no optimal point during the Fresh Wake/Smart alarm time frame 	AZLZA0Q87TJZO
Why are there different versions of bills 	I do not know why there are different versions 	A13GUTDMGGZZDL
If an HR manager makes a verbal promise to an employee that he or she would not be terminated , how does that affect the employment at-will status of that employee 	I do not know know how that affects the employee 's employment at-will status 	A13GUTDMGGZZDL
Is there a locker to keep my belongings 	I do not know if there is a locker to keep your belongings	APF1EAZT104LQ
Are you open late any evening 	I do not know if we are open late any evening 	A2D0IIX70FDQIW
What can be done for an employee whose court-ordered garnishments are an excessive burden 	I do not know what can be done for an employee whose court-ordered garnishments are an excessive burden 	A3THR2UWGQNVX4
You 're phone tree is really long , is there a faster way to get through it 	I do not know if there is a faster way to get through our really long phone tree 	AE9M4Z1NCYSDM	
Why is this called this Chrysler Museum 	I do not know why this is called the Chrysler Museum 	A1JBSFXMMRGSQD
How often may I apply 	I do not know how often you may apply 	A2115OWJ0CKOB3
How does E-TRAC handle multiple approver at the same level 	I do not know how the E-TRAC handles multiple approver at the same level 	A3CL6GEDFNQGQY
How to read my invitation 	I do not know how to read your invitation 	A16NITTBMCSN0V
Are there other Zoos in Virginia 	I do not know if there are other zoos in Virginia 	A1JBSFXMMRGSQD
Since the package never shipped to my house , can the money I spent be used toward my next purchase 	I do not know if the money you spent on the undelivered package can be used toward your next purchase 	A3U6CLX7HD0SMF	
What types of vehicles can my specialty plate be issued to 	I do not know what types of vehicles your specialty plate can be issued to	A23CTGXNDDW5LC
How long does it take to know if I 've been approved 	I do not know how long it takes to verify approval 	A2IY2RXNZ4UEPJ
Can I transfer money between my two accounts 	I do not know if you can transfer money between your two accounts 	AD9O852KPYLHY	
I would like an ETA for my package to arrive 	I am not able to provide an ETA for your package to arrive	AYJGJAIY0EXW
How can I keep track of safety and security conditions abroad 	I do not know how you can keep track of safety and security conditions abroad 	A2NI2HSU84PHJW
What criteria will a court use to evaluate whether an employee or employer owns a social media account used for business purposes 	I do not know the criteria 	APF1EAZT104LQ
What is the HomeLink ® Wireless Control System 	I do not know what the HomeLink Wireless Control System is 	A116N2LEI6O7HB
Do I get to handle animals 	I do not know if you get to handle animals	A23CTGXNDDW5LC
How does my group request a donation from Kirkland 's 	I do not know how your group requests a donation from Kirkland 's 	A3U0VQ420HIMQ0
Do I Need To Have A Partner 	I do not know if you need to have a partner 	A2HKTM4Z8652
What if my child is traveling alone 	I do not know if your child is traveling alone 	A1S8DYWNS59XWB
What insurance plans are available to me 	I do not know what insurance plans are available to you 	ASFR82SJYMGNU
When does my membership begin 	I do not know when your membership begins 	A3RD486RQUI2XV
How do I know if my booking has been confirmed 	I do not know how to tell if your booking has been confirmed 	A2NI2HSU84PHJW
When is the best time to schedule a visit 	I do not know when the best time to schedule a visit is 	A2VFX3J4B1I22X
Why should I consider becoming a C'MON member	I do not know why you should consider becoming a member 	A13GUTDMGGZZDL
My study is not yet approved by a human subjects review board -LRB- ethics review committee , institutional review board -RRB- . Can I enter it on ClinicalTrials.gov 	I do not know if you can enter your study on ClinicalTrials.gov 	A2VIKCIM9TZL22
Can I schedule the day you drop off my package 	I do not know if you can schedule the day we drop off the package 	A3U6CLX7HD0SMF	
How do print-at-home tickets work 	I am not able to tell you how print-at-home tickets work 	AT7ADQKXKXEWY
Can you bring up my payment history 	I am not able to bring up your payment history 	A2IXBTOWQRCLPZ	
Do you have any deals on the website 	I do not know if we have ay deals on the website 	A3RD486RQUI2XV
What deals can you offer for spring break 	I do not know what deals we can offer for spring break 	A31A4YKVSOYRVS	
Do I get a discount for visiting as a group 	I do not know if you get a discount for visiting as a group 	A116N2LEI6O7HB
How long does the admission process take 	I do not know how long the admission process takes 	A1XNCA1SVTT15B
When will the turtlenecks be back in stock 	I do not know when the turtlenecks will be back in stock 	AD9O852KPYLHY	
May an employer recoup a wage overpayment if it would result in the employee being paid less than the minimum wage for a pay period 	I do not know if an employer may recoup a wage overpayment if it would result in the employee being paid less than the minimum wage for a pay period 	A3R71HP45TBQ7O
How do I get my new Member Pass cards 	I do not know how you get your new Member Pass cards 	A116N2LEI6O7HB
A new employee started work on 1 June ; how much annual leave can they take until the next leave year 	I do not know how much annual leave a new employee that started on 1 June can take until the next leave year	ATQD23E8ESFSI
Do you hold any rooms back for telephone bookings 	I do not know if we hold any rooms back for telephone bookings 	A9LX66EQWDRQ5
What do I do with my tree when I get home 	I do not know what you should do with your tree when you get home 	A2LQ9NP944M61Z
Where can I find more car buying tips and advice 	I do not know where you can find more car buying tips and advice 	A2ZLJQWCM8KU36
What schools offer studies in puppetry 	I do not know what schools offer studies in puppetry 	A3CL6GEDFNQGQY
What are the Federal and State excise taxes rates for spirits , wine and beer 	I do not know what the Federal and State excise tax rates are for spirits , wine and beer 	A1XNCA1SVTT15B
Can you please check on my package 	I am not able to check on your package	A23CTGXNDDW5LC	
How can I get a copy of my driving record or vehicle records 	I do not know how you can get a copy of your driving record or vehicle records 	A1JBSFXMMRGSQD
How do I make changes to my benefit elections : enroll , change , discontinue , drop/add a dependent 	I do not know how you can make changes to your benefit elections for enroll , change , discontinue , drop/add a dependent 	A7SXWHGK8B40R
Do you offer any birthday party packages 	I do not know if we offer any birthday packages 	A2EJ7U3TZAKROG
If I am disabled or have special needs , how can the City accommodate me 	I do not know how the City can accommodate you if you are disabled or have special needs 	A116N2LEI6O7HB
Does Coffee Cause Cancer 	I do not know if coffee causes cancer	A23CTGXNDDW5LC
What can I do if I receive my packsage and it is damaged 	I do not know what you do if you receive a package and it is damaged 	AE9M4Z1NCYSDM	
How far in advance do I need to register my group visit 	I do not know how far in advance you need to register your group visit 	A2RHBR7XZGUI1C
What if a walker asks me to book outside of Wag 	I do not know what you should do if a walker asks you to book outside of Wag 	A2K9PB0U45O0MU
What are your work hours 	I do not know our work hours 	A3RD486RQUI2XV
Do you need a passport to cruise to Mexico 	I do not know if you need a passport to cruise to Mexico 	AD9O852KPYLHY	
What is the admission cost 	I do not know the admission cost 	A7SXWHGK8B40R
Can I get a copy of a picture of _____ 	I do not know if you can get a copy of a picture of _______ 	A3I9FTHSULHPYS
Do you have any new products 	I do not know if we have any new products 	A3SSJNH5SIZUPG	
Do we have to change partners during group classes 	I do not know if you have to change partners 	A13GUTDMGGZZDL
How much time will the applicant have to respond to the HireRight electronic authorization invitation 	I do not know how much time the applicant will have to respond to the HireRight electronic authorization invitation 	A2EJ7U3TZAKROG
When should I use Amazon DynamoDB vs Amazon S3 	I am not able to tell you when you should use those	APF1EAZT104LQ
Can I book flights for multiple-stop itineraries online 	I do not know if you can book flights for multiple-stop itineraries online 	A2UBEPT605E8T2
How quickly will my deposit show up in my account 	I do not know how quickly your deposit will show up in your account 	A325WS381BHOHH	
Is there an estimated time that goods typically arrive 	I do not know if there is an estimated time that goods typically arrive 	A9LX66EQWDRQ5	
How does the reciprocal program work 	I do not know how the reciprocal program works 	A3I9FTHSULHPYS
Do you have any cheaper blankets 	I do not know if we have any cheaper blankets 	A3VV5FFG6GXE1S	
Can I change the font of the print view for Book 	I do not know if you can change the font of the print view for Book 	A1JBSFXMMRGSQD
Why am I being charged extra for this 	I do not know why you are being charged extra for this 	A1YKWG46AWMPUX	
As an implementing partner , we already submit routine monitoring -LRB- indicator -RRB- data directly to a USAID mission or other operating unit . Do we also need to submit this data to the DDL 	I do not know if you have to submit data to the DDL in addition to the data you submit directly to a USAID mission as an implementing partner 	A1JBSFXMMRGSQD
Your items are made in any number of countries , can I specifiy the country of origin I want my item to be from 	I do not know if you can specify the country of origin you want your item from 	AE9M4Z1NCYSDM	
What is your companies website 	I do not know the website 	A260AFDCSXBQOH
can i cancel an order if it has not yet shipped	I do not know if I can cancel an order before it ships 	AJNQ2PBD07FKE
How can I make a gift to Harvard University 	I do not know how you can make a gift to Harvard University 	A3R71HP45TBQ7O
How do I find a doctor in my medical plan 	I do not know how you can find a doctor on your medical plan 	A8O98QNRG9SHV
When can I expect a refund 	I do not know when you can expect a refund 	AE9M4Z1NCYSDM	
I got home from your store and realized that I do n't have all the things that I bought 	I do not know how you get all the things that you bought after you get home from the store 	A1GAARR4GOOZCO	
What happens if the weather is poor or my child is sick the morning of my program I want to cancel/re-schedule 	I do not know what happens if you want to cancel/re-schedule 	A13GUTDMGGZZDL
How can I request to be excused from jury service 	I do not know how you can request to be excused from jury service 	A2TP3K1THK6XRB
What can I do to upgrade 	I do not know what you can do to upgrade 	A31A4YKVSOYRVS	
I noticed something is out of stock - to you have a date you expect to have it back 	I do not know when we expect to have it back 	A1YKWG46AWMPUX	
What if I lose/leave something at the Museum	I do not know what happens if you lose/leave something at the museum 	A2K9PB0U45O0MU
Are tours of the special exhibition available 	I do not know if tours of the special exhibition are available 	A3L8LSM7V7KX3T
Can you explain why my order has n't shipped when it was supposed to ship two days ago 	I am not able to explain why your order has n't shipped 	A1YKWG46AWMPUX	
I ordered the wrong size and I 'd like to cancel my order 	I am not able to cancel your order 	AHGM882UX7S4T	
Where can I learn about the names around the outside of the Carnegie Museum/Carnegie Library building 	I do not know where you can learn about the names around the outside of the Carnegie Museum/Carnegie Library building 	ARKAJ6PL85CME
How many prints come with the photography package 	I do not know how many prints come with the photography package 	AE9M4Z1NCYSDM	
Can I put my account on vacation hold 	I do not know if you can put your account on vacation hold 	A3GNQDFPZALU92	
Does UAMS offer annual open enrollment 	I do not know if UAMS offers annual open enrollment 	A13GUTDMGGZZDL
What is the weight limit on your product 	I do not know the weight limit on your product 	A3U6CLX7HD0SMF	
I can not access the online application . What should I do 	I do not know how to access the online application 	A2NI2HSU84PHJW
when will your restaurant open a new location 	I do not know when our restaurant will open a new location 	A1YKWG46AWMPUX	
Can I view artwork from the permanent collection that is n't on view 	I do not know if you can view artwork from the permanent collection that is n't on view 	A3I9FTHSULHPYS
Will you charge me anything to return an item 	I do not know if we will charge you anything to return an item	A23CTGXNDDW5LC	
What can I use for user name 	I am not able to tell you what to use for your user name 	A18RMWE4BKHG6R
What kind of cars do you sell 	I do not know what kind of cars we sell 	A16VTK6KZ1U69H
Will your warranty cover repairs made at my house 	I do not know if our warranty covers repairs made at your house	A23CTGXNDDW5LC
is there anyway for me to get a discontinued product 	I do not know if there is anywy for you to get a discontinued product 	A325WS381BHOHH	
Is the Welsh Mountain Zoo open all year 	I do not know if the Welsh Mountain Zoo is open all year 	A9LX66EQWDRQ5
Where do I find my customer number 	I do not know where you find your customer number 	A2NI2HSU84PHJW
Do we need to have special museums month programming	I do not know if we need to have special museums month programming	ATQD23E8ESFSI
Is my shipping charge refunded if I return an item 	I do not know if your shipping charge is refunded if you return an item 	AJ7E01X4TAGHL
How can I purchase an Artist membership 	I do not know how you can purchase an Artist membership	APF1EAZT104LQ
Can I purchase a Museum Card at the Stedelijk Museum 	I do not know if a museum card can be purchased at the Stedelijk Museum 	A3U6CLX7HD0SMF
I hold a long-stay visa constituting a residence permit , but it has not yet been validated by the French Immigration and Integration Office -LRB- OFII -RRB- . May I travel without having to apply for a new visa 	I do not know if you are able to travel without having to apply for a new visa 	A2VIKCIM9TZL22
What is the difference between the ' Consular Fee ' and the ' Travisa Service Fee ' 	I do not know what the difference between the ' Consular Fee ' and the ' Travisa Service Fee ' is 	ARKAJ6PL85CME
How do I use my gift card balance	I do not know how to use your gift card balance 	AJKA9BKC011F2
How does the waitlist work	I do not know how the waitlist works 	A1YB6WRWEXG1OC
Can I change my arrival time for a later or earlier time 	I do not know if you can change your arrival time 	A16NITTBMCSN0V
How long until my tracking number is activated to be viewed 	I do not know how long until your tracking number is activated to be viewed 	A1JBSFXMMRGSQD
Can you tell me what time your NYC location closes 	I do not know what time the NYC location closes 	AJ7MWBQFNH3E4
I would like to donate a book to the College Library . How do I do this 	I do not know how you donate a book to the College Library 	AZLZA0Q87TJZO
How do I find the zoo 	I do not know where you find the zoo	A5VBIZ2KIQ1R8
Which UPS should I buy 	I do not know which UPS you should buy 	AJ7E01X4TAGHL
Where can I find the other Carnegie institutions in Pittsburgh 	I do not know where you can find the other Carnegie institutions in Pittsburgh 	A13GUTDMGGZZDL
I changed my mind about an order - do I have time to cancel it 	I do not know if you have time to cancel it	A23CTGXNDDW5LC
Where can I get information on how to ship a package 	I do not know where you can get information on how to ship a package 	A3CL6GEDFNQGQY
What kinds of features come with the premium service 	I do not know what kinds of features come with the premium service 	A185P3B2MC2K83
Where can I find a bargain on paper towels	I do not know where you can find bargain paper towels 	A31A4YKVSOYRVS	
What is the charge for a late payment 	I do not know what the charge is for a late payment 	A3VV5FFG6GXE1S	
How long does the process take to become a volunteer	I am not able to tell you how long the process takes for you to become a volunteer 	A1JBSFXMMRGSQD
How do I verify , add or update my email address on my license record 	I do not know how to verify , add or update an email address 	A325WS381BHOHH
How can I purchase supplies for my classroom 	I do not know how you can purchase supplies for your classroom	A23CTGXNDDW5LC
Why does the museum charge admission	I do not know why the museum charges admission 	A1A0PNOBFTTHGP
Which fringe benefits are nontaxable to an employee 	I do not know which fringe benefits are nontaxable to an employee 	AGYTXEJ804L4W
What do I do if I miss a class 	I do not know what you should do if you miss a class 	A13GUTDMGGZZDL
What is happening to the compelling reason time policy 	I do not know what is happening to the compelling reason time policy 	A2NI2HSU84PHJW
Ca n't find what you are looking for 	I do not know why you ca n't find what you are looking for 	A7SXWHGK8B40R
I would like to purchase a high quality exhibit reprint . Do you provide this service 	I am not able to provide a high quality exhibit reprint 	AJ7E01X4TAGHL
What about gift items 	I do not know about gift items 	A2NI2HSU84PHJW
Who are the Camp Counsellors 	I do not know who the camp counsellors are 	A13GUTDMGGZZDL
May I have a confirmation number 	I am not able to give you a confirmation number 	A31A4YKVSOYRVS	
What is the length of time that a California employee must have worked before the employee is eligible for California pregnancy disability leave 	I do not know the length of time that a California employee must have worked before the employee is eligible for California pregnancy disability leave 	A2NI2HSU84PHJW
What do I need to do if I 'm traveling with an infant -LRB- under 2 years old -RRB- 	I do not know what you need to do if you are traveling with an infant 	A8O98QNRG9SHV
I ca n't find my tracking number 	I am not able to find your tracking number 	AE9M4Z1NCYSDM	
Does your company provide a shuttle back to the airport when I return 	I am not able to tell you if we provide a shuttle	APF1EAZT104LQ	
Can I change my shipping speed after purchase 	I am not able to change your shipping speed after purchase 	AHGM882UX7S4T	
What is the Early Bird rate 	I do not know the rate 	A1DWQO9X2ZQ35G
What does the ' PDF File ' box mean in my online paycheck 	I do not know what the ' PDF File ' box means in your online paycheck 	A8O98QNRG9SHV
When can I expect my order to ship 	I do not know when your order will ship 	AE9M4Z1NCYSDM	
When is the next CDC Disease Detective Camp 	I do not know when the CDC is 	A3722NOMVUK89T
What are my food options 	I do not know what your food options are 	A2QWVKYC4RSJKM
How do I repair a phone that was damaged by water 	I do not know how you repair a phone that was damaged by water 	A31A4YKVSOYRVS	
What areas of legal compliance should I be most concerned about today 	I do not know what areas of legal compliance you should be most concerned about today 	A3G2FBKYCRD5Q8
I am a Member . Can I park for free 	I do not know if you can park for free	A23CTGXNDDW5LC
What amount is due in order to re-acctivate my account 	I do not know what amount is due 	AMW07CJC3OJIB
If my current job is reclassified to a higher grade , how is my salary affected 	I do not know how your salary will be affected if your job is reclassified to a higher grade 	A21EPR8KW0GWX2
Do you offer discounts for teachers 	I am not able to tell you if we offer discounts for teachers 	A1JBSFXMMRGSQD
Why is the bucket concept helpful 	I do not know why the bucket concept is helpful 	A116N2LEI6O7HB
Do I have to purchase admission tickets in advance for special exhibitions 	I do not know if you have to purchase admission tickets in advance for special exhibitions 	A7SXWHGK8B40R
How do I upgrade a device 	I do not know how to upgrade a device 	A2NI2HSU84PHJW
Why ca n't I cancel my order if it has n't even shipped yet	I do not know why you ca n't cancel your order if it has n't even shipped yet 	ASFR82SJYMGNU
Why is Lodge Enamel Made in China 	I do not know why Lodge Enamel is made in China 	A2K9PB0U45O0MU
I have the receipt from 3 years ago can I still return it 	I do not know if you can still return it 	A1YKWG46AWMPUX	
How can I get to the Granby Zoo from Montréal , Ottawa or the USA 	I do not know how you can get to the Granby Zoo from Montreal , Ottawa or the USA 	A2NI2HSU84PHJW
What if I have questions about my bill or insurance 	I do not know what to do if you have questions about your bill or insurance 	APC99TPURUHR8
I just made two orders , how do I combine them for shipping 	I am not able to combine shipping for two orders 	AJNQ2PBD07FKE
What is the proximity of the HRR to Hueco Tanks State Park 	I do not know the proximity of the HRR to Hueco Tanks State Park 	A7SXWHGK8B40R
Do you have any more of the red sofa in stock 	I do not know if we have any more of the red sofa in stock	A23CTGXNDDW5LC
Do you cater for groups 	I do not know if we cater for groups 	A2NI2HSU84PHJW
When will the credit be on my account 	I do not know when the credit will be on your account 	A1YKWG46AWMPUX	
i lost my card and need to order a replacement 	I am not able to order a replacement card 	A31A4YKVSOYRVS	
I need to have all the costs calculated after tax before I make this purchase 	I am not able to calculate all the costs after tax before you make the purchase 	A260AFDCSXBQOH
When is Jazz incoporated into the curriculum 	I do not know when Jazz is incorporated into the curriculum 	A2D0IIX70FDQIW
Do you walk my dog with other people 's dogs 	I do not know if we do 	A1DWQO9X2ZQ35G
Why do adults need to pay admission 	I do not know why adults need to pay admission 	A1AF392CLGHH0X
Is photography permitted in the Anne Frank House 	I do not know if photography is permitted in the Anne Frank House 	A2HKTM4Z8652
How can I conduct an internal only recruitment 	I do not know how you can conduct an internal only recruitment 	A234VIHHUHPZG5
When was Huron Street renamed Davis Drive 	I do not know when it was renamed Davis Drive 	A2NI2HSU84PHJW
What happens after the free trial 	I do not know what happens after the free trial 	A3U0VQ420HIMQ0
What are the benefit of my new card 	I do not know what the benefits are of your new card 	A9LX66EQWDRQ5	
When must flexible retention periods be applied consistently across an agency or office 	I do not know when flexible rentention periods must be applied consistently 	A13GUTDMGGZZDL
I need to lower my monthly bill or i wont be able to keep the service	I am not able to lower your bill 	AD9O852KPYLHY	
How do I initiate a return 	I am not able to tell you how to initiate a return	APF1EAZT104LQ
How long does it take to prepare an order for 100 of these custom made signs 	I do not know how long it takes to prepare an order for 100 of these custom made signs 	A8F4B0854KTXO	
Is there a restaurant at the Aquarium 	I do not know if there is a restaurant at the Aquarium 	ARFQ8FJRKCUZ6
How much does it cost to get the premium services 	I do not know how much it costs to get the premium services 	A185P3B2MC2K83
May I wear Heelys or in-line skates , or bring a skate board or bicycle on-site 	I do not know if you can wear Heelys or in-line skates or bring a skate board or bicycle on-site	ATQD23E8ESFSI
Do you have a layaway method 	I do not know if we have a layaway method 	A31A4YKVSOYRVS	
Is anything new for the Scarborough -LRB- Toronto Zoo -RRB- site this year 	I do not know if there is anything new for the Scarborough -LRB- Toronto Zoo -RRB- site this year 	A2K9PB0U45O0MU
My item was damaged . Can I keep it and you send me a new one 	I do not know if you can keep it and if we can send you a new one 	A8F4B0854KTXO	
What is my monthly payment 	I do not know what your monthly payment is 	A325WS381BHOHH	
How can your student progress faster 	I do not know how a student can progress faster 	A2K9PB0U45O0MU
Where can I find a menu 	I do not know where you can find a menu 	A2K9PB0U45O0MU
What 's it like on weekdays vs. weekends , mornings vs. afternoons 	I do not know what is is like on weekdays verses weekends , morning versus afternoons 	A3SS1F4F3JE7CU
What sizing options are available 	I do not know what sizing options are available	APF1EAZT104LQ
Can you switch the payment source on my subscription 	I am not able to switch the payment source on your subscription 	A31A4YKVSOYRVS	
What kind of art is on display at the museum 	I do not know what kind of art is on display at the museum 	A2K2MFQMN31DZ
My order arrived late 	I do not know why your order is late 	A1YKWG46AWMPUX	
Do I need to be home to sign for it 	I do not know if you need to be home to sign for it 	A3RD486RQUI2XV
Is there a cash point in the zoo 	I do not know if there is a cash point in the zoo 	A3G2FBKYCRD5Q8
hat are the characteristics of big bucket schedule items 	I do not know what are the characteristics of big bucket schedule items 	A3CL6GEDFNQGQY
Can I leave and come back 	I do not know if you are able to leave and come back	ABWW1P7GZ4C0Z
If an employee stops making contributions to a 401 -LRB- k -RRB- plan while on sabbatical , may the employer stop making contributions during this time also 	I do not know if the employer can stop making contributions	APF1EAZT104LQ
Is it safe to travel to Israel 	I do not know if it is safe to travel to Israel 	A3G2FBKYCRD5Q8
Are you open on Sundays 	I do not know if we are open on Sundays 	A9LX66EQWDRQ5	
How do I find information 	I do not know how you can find information 	A3CL6GEDFNQGQY
Can I use a photocopy of a United States Department of State Passport Application Form 	I do not know if you can use a photocopy of a United States Department of State Passport Application Form 	A2NI2HSU84PHJW
What items can I salary sacrifice 	I do not know what items you can salary sacrifice 	A1J0GU26323WVA
What is your policy on returns and exchanges 	I do not know our policy on returns and exchanges 	AD9O852KPYLHY	
Can I Learn to Dance 	I do not know if you can learn to dance 	AFS36YMNN8A2J
Who is Corban OneSource , I have never heard of them 	I do not know who Corban OneSource is 	A3U6CLX7HD0SMF
How many people visit the museum yearly 	I do not know how many people visit the museum yearly 	ARKAJ6PL85CME
