Do you know how long before my order ships 	I do not know how long before your order ships	A23CTGXNDDW5LC	
What about renewal of my specialty plates 	I do not know about renewal of your specialty plates 	A2K2MFQMN31DZ
Do you offer a tracking number with standard shipping 	I do not know if we offer a tracking number with standard shipping 	A9LX66EQWDRQ5	
Is the museum 's permanent art collection searchable online 	I do not know if the museum 's permanent art collection is searchable online 	A3B2YRXL26RPVH
Is the helium dangerous if the kids inhale it from the balloons 	I do not know if the helium is dangerous if the kids inhale it from the balloons 	A325WS381BHOHH	
Is there a bulk price if I buy a certain amount 	I do not know if there is a bulk price if you buy a certain amount 	A3RD486RQUI2XV
Prior to free membership , I had a Curators ' Circle - Director 's Circle - Benefactor 's Circle - Patron 's Circle membership . How will I be recognized now that all memberships are free 	I do not know how you will be recognized now that all memberships are free 	A1X3SF2W1QQBY1
If I buy a Guided Tour for the Vatican Museums , is it possible to see the Vatican Gardens with the same ticket 	I do not know if it is possible to see the Vatican Gardens with the same ticket 	A2NI2HSU84PHJW
Where is the front entrance located	I do not know wher ethe front entrance is located 	A2LQ9NP944M61Z
Did Neil Armstrong still live in Wapakoneta 	I do not know if Neil Armstrong still lives in Wapakoneta 	A36EXF1KC09IER
Where do Dau Students Perform	I do not know where DAU students perform 	A2HKTM4Z8652
What if I am not able to pay my bill 	I do not know what if your not able to pay your bill 	A3SS1F4F3JE7CU
How do you get to the Museum 	I do not know how you get to the Museum 	A298FAWY76NZA9
Can we bring a dog to Zoo Parc Safari 	I do not know if you can bring a dog to Zoo Parc Safari 	A9LX66EQWDRQ5
Do I qualify for savings 	I do not know if you qualify for savings 	A325WS381BHOHH
If our organization has less than 50 employees , can we still purchase People-Trak HR Software 	I do not know if you can purchase People-Trak HR Software if your organization is less than 50 employees 	A2LQ9NP944M61Z
What is the tsunami warning system 	I do not know what the tsunami warning system is 	A116N2LEI6O7HB
What about other special restrictions 	I am not able to tell you about the other restrictions 	A3RD486RQUI2XV
Were only women accused of practicing witchcraft 	I do not know if only women were accused of practicing witchcraft 	A7SXWHGK8B40R
Must an employer with a self-insured health plan obtain a health plan identifier -LRB- HPID -RRB- 	I do not know if an employer with a self-insured health plan must obtain a health plan identifier -LRB- HPID -RRB- 	A1J0GU26323WVA
Can I produce hard copies of my material 	I do not know how to produce hard copies of your material 	A2VIKCIM9TZL22
I ca n't understand you very well , can we switch to french 	I am not able to switch to French 	A8F4B0854KTXO	
My child is beginning classes in the middle of a semester . Do you prorate tuition 	I do not know if we prorate tuition 	A2NI2HSU84PHJW
My creditcard is not accepted , what can I do 	I do not know what you can do if your credit card is not accepted 	A2VIN0EE9BGPSH
Can you help me track my order 	I am not able to help you track your order 	AE9M4Z1NCYSDM	
Can I change the quantity of items in my order after the purchase goes through	I am not able to change the quantity of your order 	AJNQ2PBD07FKE
What hours is your store open 	I am not able to tell you the hours our store is open 	A3RD486RQUI2XV
Am I required to attend orientation to sign up for benefits 	I do not know if you required to attend 	AOPI4DCPSO8H4
I am interested in two different history programs . Are you able to blend them into one program for my students 	I do not know if we are able to blend two history programs into one program for your students 	A1X3SF2W1QQBY1
When will I receive my first statement 	I do not know when you will receive your first statement	A23CTGXNDDW5LC	
Can I renew my warranty 	I am not able to renew your warranty 	AE9M4Z1NCYSDM	
How can I recycle used consumables 	I do not know how you can recycle used consumables 	A13GUTDMGGZZDL
Can I bring gifts and decorations 	I do not know if you can bring gifts and decorations 	A2N9AKAOR17XB3
What are the requirements for applying for a residence card , or for the issue of an address card 	I do not know what the requirements are for applying for a residence card , or for the issue of an address card 	A7SXWHGK8B40R
How can I obtain an itemized bill 	I do not know how you obtain an itemized bill 	A2NI2HSU84PHJW
What is your smoking policy 	I do not know what the smoking policy is 	A2NI2HSU84PHJW
My payment keeps being declined 	I do not know why your payment keeps being declined 	A1JBSFXMMRGSQD
Can you share details of the new studies that support the consensus that BPA is safe for humans 	I am not able to share details of the new studies that support the consensus that BPA is safe for humans 	A8O98QNRG9SHV
Why has n't my order shipped out yet 	I do not know why your order has not been shipped yet	APF1EAZT104LQ
Someone hacked into my Netflix account . Is there some way to trace this person 	I am not able to trace the person who hacked into your Netflix account 	A31A4YKVSOYRVS	
Am I able to use the gift card online 	I do not know if you are able to use the gift card online 	AE9M4Z1NCYSDM	
Can you verify that my order will arrive by the end of this week 	I am not able to verify that your order will get there by the end of this week 	A31A4YKVSOYRVS	
How much for express shipping	I do not know how much express shipping is 	A3GNQDFPZALU92	
Will I be the only adult 	I do not know if you will be the only adult 	AT7ADQKXKXEWY
How far in advance can I reserve my backcountry spots 	I do not know how far in advance you can reserve your backcountry spots 	A1JBSFXMMRGSQD
What kind of services do you offer after the sale 	I do not know what kind of services we offer after the sale 	A3GNQDFPZALU92	
I 'm coming with a group , can I reserve a picnic pavilion 	I do not know if you can reserve a picnic pavilion	A23CTGXNDDW5LC
What products are popular in my area 	I do not know what products are popular in your area	A23CTGXNDDW5LC
Can I add my company logo and customize Kin 	I do not know how you can add your company logo and customize Kin 	A3CL6GEDFNQGQY
What is your most popular add on item that people buy 	I do not know what the most popular add on item is that people buy 	AE9M4Z1NCYSDM	
What qualifications stand me in good stead for finding a job in Germany 	I do not know what qualifications stand you in good stead for finding a job in Germany 	A16VTK6KZ1U69H
How much does it cost to rent a space at Sheldon 	I do not know How much it cost to rent a space at Sheldon	ATQD23E8ESFSI
Do all those texts cost money 	I do not know if all those texts cost money 	A9LX66EQWDRQ5
How can I reserve a baby cot 	I do not know how you would reserve a baby cot 	A3RO0QIXW4IX3Y
Are pets welcome in the zoo 	I do not know if pets are welcome in the zoo 	A2UBEPT605E8T2
How long will it take for a maid to arrive 	I do not know how long it will take for a maid to arrive 	A31A4YKVSOYRVS	
How long is a visit to the Uffizi 	I do not know how long a visit to Uffizi takes 	A2D0IIX70FDQIW
What do I do if my package was stolen 	I do not know what you would do if your package was stolen 	A31A4YKVSOYRVS	
What can I bring to a Pavilion Concert	I am not able to help you with what you can bring to a pavilion concert 	A1BWNS27NA1JAP
Do you think I should buy insurance for my order 	I do not know if you should buy insurance for your order 	A9LX66EQWDRQ5	
What are some different ways I can use this product 	I do not know some different ways you can use this product	A23CTGXNDDW5LC
Will that cover guests 	I do not know if that will cover guests 	A8F4B0854KTXO	
Can you help if I 've lost my card and need help reordering 	I am not able to help if you 've lost your card and need help reordering	A23CTGXNDDW5LC
Do you allow visitors to take photos -LRB- including digital cameras -RRB- or copy the works 	I do not know if you can take photos or copy the works with any camera 	A3NZLRU95OULXB
Do you have an observation window 	I do not know if we have an observation window 	A3U0VQ420HIMQ0
Where can I find online coupons	I do not know where you can find online coupons 	A3RD486RQUI2XV
Do I value IT system reliability , efficiency and productivity , or are these things my business can do without 	I do not know if your business can do without IT system reliability , efficiency and productivity 	A3RD486RQUI2XV
What is DanceSport 	I do not know what DanceSport is 	AZLZA0Q87TJZO
Where can I find healthy recipes for different ethnicities 	I do not know where you can find healthy recipes for different ethnicities 	A2HKTM4Z8652
I think I was charged incorrectly for an item . What should I do 	I do not know what you should do if you were incorrectly charged for an item 	A31A4YKVSOYRVS	
Can I give a polygraph -LRB- lie detector -RRB- test to a prospective employee for a pharmaceutical position 	I do not know if you can give a polygraph test to a prospective employee for a pharmeceutical position 	A2115OWJ0CKOB3
Am I required to provide my employees benefits 	I do not know if you are required to provide your employees benefits 	A3E3J27LF4OX9M
Can you help me set up my voice mailbox 	I am not able to help you set up your voice mailbox 	A3GNQDFPZALU92	
I bought a new car and need to add it to my policy 	I am not able to add the new car you bought to your policy 	A31A4YKVSOYRVS	
Where are facilities available for diaper changing 	I do not know where the facilities are for diaper changing 	A7SXWHGK8B40R
Where are the dance studios and dance faculty offices 	I do not know where the dance studios and dance faculty offices are 	A2HKTM4Z8652
Where can I find information about air bags/supplemental inflatable restraints on Chevrolet vehicles 	I do not know where you can find information about air bags/supplemental inflatable restraints on Chevrolet vehicles 	A7SXWHGK8B40R
I lost something in the museum ! Who do I contact 	I do not know who you contact if you lost something in the museum 	A3U0VQ420HIMQ0
How much do the dance uniforms cost 	I do not know the cost of dance uniforms 	A2VIKCIM9TZL22
What if I do n't see my favorite non-profit on the list 	I do not know how you would be able to see your favorite non-profit on the list 	A2VIKCIM9TZL22
I 'm having trouble verifying my account , I never got an email	I am not able to help you verify your account 	A31A4YKVSOYRVS	
I lost a personal item in my room or at the Resort . How can I submit a claim 	I do not know how you could submit a claim for a lost personal item 	A2VIKCIM9TZL22
Are there any restrictions on the number of claims that I can submit 	I do not know if there are any restrictions on the number of claims you can submit 	A16NITTBMCSN0V
Do I only pay the registration fee once 	I do not know if you only pay the registration fee once	A23CTGXNDDW5LC
Is this item always in stock 	I do not know if this item is always in stock 	A3GNQDFPZALU92	
Do I need to speak Japanese 	I do not know if you need to speak Japanese 	AT7ADQKXKXEWY
What are ' Mambo Shines ' -LRB- a/k/a ' Fancy Footwork ' -RRB- 	I do not know what ' Mambo Shines ' -LRB- a/k/a ' Fancy Footwork ' -RRB- are 	AJ7E01X4TAGHL
Are there more modern or ballet courses 	I do not know if there are more modern or ballet courses 	A2K9PB0U45O0MU
What kind of shoes should I wear for my lesson	I do not know what kind of shoes you should wear 	A2NI2HSU84PHJW
how long is the average project assignment 	I do not know how long the average project assignment is	A23CTGXNDDW5LC
How old do I have to be to take class 	I do not know how old you have to be to take class 	A20WRVVT7WQFT7
How do I contact you 	I do not know how you can contact me 	A13GUTDMGGZZDL
Is your milk made with hormones 	I do not know if our milk is made with hormones 	A3VV5FFG6GXE1S	
Can I email statements from DanceStudio-Pro 	I do not know if you can email statements from DanceStudio-Pro 	AZLZA0Q87TJZO
What should I do to get a Certificate of Eligibility 	I do not know What you should do to get a Certificate of Eligibility 	A3RD486RQUI2XV
What are the key components of a retaliation policy 	I do not know the key components of a retaliation policy 	A2NI2HSU84PHJW
Does this shirt come in children 's sizes 	I do not know if this shirt comes in children 's sizes 	A31A4YKVSOYRVS	
What will I experience at World of Coca‑Cola 	I do not know what you will experience at World of Coca-Cola 	AFS36YMNN8A2J
How much is the delivery charge 	I do not know how much the delivery charge is 	A3RD486RQUI2XV
How Can I Avoid the Crowds at Old Faithful 	I do not know how you can avoid crowds at Old Faithful 	A1JBSFXMMRGSQD
Would you be able to help me set a later shipping date for my item 	I am not able to help you set a later shipping date for your item 	A9LX66EQWDRQ5	
I have n't seen any confirmation emails . Why I am not receiving emails 	I do not know why you have not received your confirmation emails 	A1HLG5NN2I16GN
I 'm a Louisville Zoo member . Do I pay a parking fee 	I do not know if you pay a parking fee	A23CTGXNDDW5LC
Can I get a fun image printed on my credit card 	I do not know if you can get a fun image printed on your credit card 	A3RD486RQUI2XV
Does the delivery driver offer change 	I do not know if the delivery driver offers change 	A2EAJXBORHT44T	
why does it say my discount code expired	I do not know why it says your discount code expired 	AJNQ2PBD07FKE
What steps should federal contractors take to ensure compliance with the OFCCP 's Final Rule regarding Section 503 of the Rehabilitation Act of 1973 	I do not know the steps federal contractors take to ensure compliance with the OFCCP 's Final Rule regarding Section 503 of the Rehabilitation Act of 1973 	A2K9PB0U45O0MU
Why are there two entries , non-series title and series title , for many headings listed in the search results of a Title Authority Heading search 	I do not know why there are two entries for some headings listed in the search results 	A3U6CLX7HD0SMF
Who is my contact	I do not know who your contact is 	A1X3SF2W1QQBY1
Do you offer shipping to Jamaica 	I do not know if we offer shipping to Jamaica 	A9LX66EQWDRQ5	
Who will be responsible for the kids during the party 	I do not know who will be responsible for the kids during the party 	A2D0IIX70FDQIW
What items are not eligible for Shipped by Newegg 	I do not know which items 	A1DWQO9X2ZQ35G
May an employer create a ' black list ' of individuals that it will refuse to hire 	I am not able to tell you if an employer may create a ' black list ' of individuals that they will refuse to hire 	A116N2LEI6O7HB
How much dance training should a prospective student have prior to attending Point Park 	I do not know how much dance training a prospective student should have prior to attending Point Park 	A116N2LEI6O7HB
Can you tell me what payment method I have on file 	I am not able to tell you what payment method you have on file 	A31A4YKVSOYRVS	
What 's the best app for menus	I do not know what is the best app for menus 	A3GNQDFPZALU92	
I 'm a Staff Member ; When Should I Call a Chaplain 	I do not know when you should call a chaplain 	A3G2FBKYCRD5Q8
I 'm Having Trouble With My Password - Can You Help 	I do not know if we can help 	A2NI2HSU84PHJW
Am I allowed to bring my stroller or carrier into the theater 	I do not know if you can bring a stroller or carrier in the theater 	A2223XYV804AY7
I need to speak to whoever is in charge 	I am not able to have you speak to whoever is in charge 	ASFR82SJYMGNU
Please check if my order is in yet 	I am not able to check if your order is in yet 	A325WS381BHOHH	
If you are n't using the spiral method of learning , what do you use 	I do not know what you use if you are n't using the spiral method of learniing 	AZLZA0Q87TJZO
How can I earn more rewards points 	I do not know how you can earn more rewards points 	AI4AO0O0WIJF7
How are bills identified 	I do not know how bills are identified 	A1XNCA1SVTT15B
Do you have kennel facilities for dogs 	I do not know if we have kennel facilities for dogs 	A2K2MFQMN31DZ
Do you have extra problems available if a student additional practice 	I do not know if extra problems are available for additional practice 	A1HLG5NN2I16GN
Can you please check if the item ingredients are the same as the previous version 	I am not able to check if the item ingredients are the same as the previous version 	A9LX66EQWDRQ5	
What 's the exchange rate for trading in books at the used-book counter 	I do not know the exchange rate for trading in books at the used-book counter 	A1GAARR4GOOZCO	
Does my boarding pass indicate that I can use the TSA Pre ✓ ® lane 	I am not able to tell if your boarding pass indicates that you can use the TSA Pre ✓ ® lane 	A2115OWJ0CKOB3
What flavors do you offer of this item 	I do not know what flavors we offer for this item 	A31A4YKVSOYRVS	
What payment structure did Oregon choose for eligible hospitals 	I do not know the payment structure Oregon chose for eligible hospitals 	A2K9PB0U45O0MU
Can I study abroad 	I do not know if you can study abroad 	A2HKTM4Z8652
I love to take photos with animals . Do you have a schedule for this activity 	I do not know if we have a schedule for taking photos with animals 	A2HKTM4Z8652
What types of visas are available for people to come to the United States 	I do not know what types of visas are available for people to come to the United States 	AISE949ZZN8HA
What should my application consist of 	I do not know what the application should consist of 	A2NI2HSU84PHJW
How can we change our company details 	I do not know how you can change your company details 	A2NI2HSU84PHJW
Can we get a refund if the weather is bad 	I do not know if you can receive a refund 	A1DWQO9X2ZQ35G
Do you have picnic areas available 	I do not know if we have any available picnic areas 	APC99TPURUHR8
Who was involved in this decision 	I do not know who is involved in this decision 	A3NZLRU95OULXB
How often can I be summoned for jury service 	I do not know how often you can be summoned for jury service 	A8O98QNRG9SHV
How can I verify that my payment went through	I do not know how to verify that your payment went through 	AJKA9BKC011F2
Can I put my membership on hold , and what 's the fee for that 	I am not able to put your membership on hold 	AD9O852KPYLHY	
Do you have a fan page 	I do not know if we have a fan page	AYJGJAIY0EXW
What exactly does it mean to have my federal student loans discharged 	I do not know what it means to have your federal student loans discharged 	A1BYVSM1G333O4
Is it possible to report for jury service but not sit on a jury 	I do not know if it is possible to report for jury service but not sit on a jury	A3R71HP45TBQ7O
Does hospice provide any help the family after the patient dies 	I do not know if the hospice provides any help for the family after the patient dies 	A7SXWHGK8B40R
Do you have any mezzanine seats still available for the play 	I do not know if any mezzanine seats are still available for the play 	A3VV5FFG6GXE1S	
Can you send me a return label 	I am not able to send you a return label 	AE9M4Z1NCYSDM	
Who provided input during the creation of the DivX DRM system 	I do not know who provided input during the creation of the DivX DRM system 	APC99TPURUHR8
I have luggage and/or a bag with me . Is there somewhere I can stow it 	I do not know where you can stow luggage and/or a bag 	A8O98QNRG9SHV
What are the names of your teachers 	I do not know what the names of my teachers are 	A2HKTM4Z8652
What is Minecraft : Education Edition 	I do not know what Minecraft : Education Edition is 	A7SXWHGK8B40R
What 's the maximum wait time I should allow for my order 	I do not know what the maximum wait time is that you should allow for your order 	A19F9CLZ0XWBYR	
when on a project assignment , who is my employer 	I do not know who your employer is when on a project assignment 	AHJYLSDFBLEWM
Where is World of Coca‑Cola located 	I am not able to search for specific answers about locations 	A1YCGICA8XCNBH
How long will the carnival be in town 	I do not know how long the carnival will be in town 	AD9O852KPYLHY	
What does it cost to visit the museum 	I do not know what it costs to visit the museum 	A2HKTM4Z8652
Can I get maps and books on Denali before I get there 	I do not know if you can get maps and books on Denali before you get there 	A9LX66EQWDRQ5
what are the customs fees for shipping this plant 	I do not know the customs fees for shipping this plant 	AE9M4Z1NCYSDM	
Are memberships tax deductible 	I do not know if memberships are tax deductible 	A1J0GU26323WVA
Can I get a free copy of Intel ® Media Server Studio 	I do not know if you can get a free copy of Intel ® Media Server Studio	ARKAJ6PL85CME
Does the Zoo have wheelchairs available for rental 	I do not know if the Zoo has wheelchairs available for rent 	A2VIKCIM9TZL22
What is in the Museums permanent collection 	I do not know what is in the museums permanent collection 	A3RD486RQUI2XV
Can I make a payment 	I do not know if you can make a payment 	A3GNQDFPZALU92	
I ca n't see certain movies and TV shows that should be in my Library . Where are they 	I do not know where the movies and TV shows are 	A1XNCA1SVTT15B
How long is the audition class 	I do not know how long the audition class is 	A30YFEIPGXNWJL
What should my dancer wear to class 	I do not know what your dancer should wear to class 	A116N2LEI6O7HB
Are there age restrictions 	I do not know if there are age restrictions 	A13GUTDMGGZZDL
What are your class sizes 	I do not know our class sizes 	A3RD486RQUI2XV
Could I change the delivery package for my service to overnight delivery 	I am not able to change the delivery package for your service to overnight delivery 	A9LX66EQWDRQ5	
What if I want a second opinion 	I do not know what happens if you want a second opinion 	A1J0GU26323WVA
Is there any way that my package would arrive by Friday 	I do not know any ways that your package can arrive by Friday 	A185P3B2MC2K83
One of my team has announced she is pregnant , what do I need to do 	I do not know what you need to do 	A2NI2HSU84PHJW
I have a non-Windows device -LRB- like an Apple -RRB- and I want to run Windows on it . Where do I get the media 	I do not know where you get the media 	A280TORYM293P6
How can I donate an object to the Museum 	I do not know how you can donate to a museaum	APF1EAZT104LQ
Can I exchange a ticket/return it for a refund 	I am not able to exchange a ticket/return for a refund 	A1J0GU26323WVA
What about aspirin and other water additives 	I do not know about aspirin and other water addititives	A1CMT9MVUO52VP
What should be kept in an Employee File and who should have access to it 	I do not know what should be kept in an Employee File and who should have access to it 	A3722NOMVUK89T
Do you guys do gift wrapping 	I do not know if we do gift wrapping 	A31A4YKVSOYRVS	
Is there still time for current DACA recipients to file a request to renew their DACA 	I do not know if there is still time for current DACA recipients to file a request to renew their DACA 	A3CL6GEDFNQGQY
Does the museum offer Coat Check Service	I do not know if the museum offers coat check service 	A1BWNS27NA1JAP
Why does Llewelyn pick up his spent rifle cartridge 	I do not know why Llewlyn picks up his spent rifle cartridge 	A13GUTDMGGZZDL
Is the USDA Database for the Added Sugars Content of Selected Foods still available 	I do not know if the USDA Database for the Added Sugars Content of Selected Foods is still available 	A2HKTM4Z8652
Am I allowed to bring food into the zoo	I do not know if you are allowed to bring food into the zoo 	A325WS381BHOHH
What does it mean if a country has an embargo or trade sanction placed on it 	I do not know what it means if a country has an embargo or trade sanction placed on it ,	ABWW1P7GZ4C0Z
Can you guarantee delivery by Christmas 	I am not able to guarantee delivery by Christmas 	AJQGWGESKQT4Y
Is it possible to ask for another card for my partner 	I do not know if you can ask for another card for your partner 	A1J0GU26323WVA	
Is food available at the museum 	I do not know if food is available at the museum 	A1YB6WRWEXG1OC
How do I print a summary of my benefit elections 	I do not know how you print a summary of your benefit elections 	A3B2YRXL26RPVH
My monthly supply has ran out before I recieved my new supply 	I am not able to send your new supply 	A185P3B2MC2K83
Can I apply my recent admission toward the purchase of a membership	I do not know if you can apply your recent admission toward the purchase of a membership 	A2TP3K1THK6XRB
Is there any way to personalize the fruit that comes with my order 	I do not know if there is any way to personalize the fruit that comes with your order 	A2EAJXBORHT44T	
Where should I go when I arrive 	I do not know where you should go upon arrival 	A2VIKCIM9TZL22
How can I prepare for the test 	I do not know how you can prepare for the test 	A3SS1F4F3JE7CU
What 's The Verizon Plan , and can I still sign up for it 	I do not know what the Verizon plan is or if you can still sign up for it 	A3RD486RQUI2XV
Where can I find my XFINITY username and password 	I do not know where you can find your XFINITY username and password 	A3CL6GEDFNQGQY
A follow up to Question 6 , but instead of sending the mailing out to all my customers , I want to send it out only to those customers for whom I arranged financing . Do I need to give an opt-out notice before I give the outside marketing company my customer list 	I do not know if you need to give an opt-out notice before you give the outside marketing company your customer list 	A2K9PB0U45O0MU
Do you sell rock hammers , tumblers or other rock hounding equipment 	I am not able to sell rock hammers , tumblers , or other rock hounding equipment 	A11TABPKSVOOFT
Is there a physical catalog that can be mailed to me 	I do not know if there is a physical catalog that can be mailed to you	A23CTGXNDDW5LC
If we book a Vatican tour rather than just entrance tickets , will we avoid any lines , such as getting in the Sistine Chapel 	I do not know if you will avoid any lines 	A1XNCA1SVTT15B
Could you please update my credit card information 	I am not able to update your credit card information 	A185P3B2MC2K83
Do we have a space to keep coats and bags during our visit 	I do not know if you will have space to keep coats and bags during your visit 	A2EJ7U3TZAKROG
What 's the deal with the insane shipping costs 	I do not know what the deal is with the insane shipping costs	AYJGJAIY0EXW
Is the use of virtual credit cards for health care claim payments covered by HIPAA transactions requirements 	I do not know if the use of virtual credit cards for health care claim payments are covered by HIPAA transactions requirements 	A2I4VNAS21FXCE
How should we dress for class 	I do not know how you should dress for class 	A2ZBJWQ9ZZHYYI
Do n't I have to be paid for on-call time 	I do not know if you have to be paid for on-call time 	A2UBEPT605E8T2
Do you offer any bundle packages 	I do not know if we offer any bundle packages 	A9LX66EQWDRQ5	
Can I add a product to my order 	I am not able to add a product to your order 	A185P3B2MC2K83
Will I need to provide my own computer/laptop if I choose to telecommute 	I do not know if you will need to provide your own computer/laptop if you choose to telecommute 	A2K9PB0U45O0MU
How are 401 -LRB- k -RRB- plan distributions and hardship withdrawals taxed 	I do not know how 401 -LRB- k -RRB- plan distributions and hardship withdrawals are taxes	A1JQZLDXTQ99VL
Do you validate parking 	I do not know if we validate parking 	A2K9PB0U45O0MU
Is there cell phone service at the Getty Center 	I do not know if there is cell phone service at the Getty Center 	A2D0IIX70FDQIW
Where do I find out how many hours of Public or Community Service I have left 	I do not know where you find out how many hours of service you have left 	A298FAWY76NZA9
Can I pay over the phone 	I do not know if you can pay over the phone 	AD9O852KPYLHY	
What TV packages are available 	I do not know what TV packages are available 	A3I9FTHSULHPYS
Why should I pay for return shipping 	I do not know why you should pay for shipping 	A2IXBTOWQRCLPZ	
Bookmark Print Email to Colleague May an employer require its employees to work overtime 	I do not know an employer requires its employees to work overtime	A16184N1RO5OJV
Which machine learning algorithms can be considered as among the best 	I do not know which machine learning algorithims can be considered as among the best 	A2K2MFQMN31DZ
What types of photography or videography are allowed in the Museum 	I do not know what types of photography or videography that are allowed in the Museum 	A1R1J3GL0YP7DJ
What forms of payment are accepted	I do not know what forms of payment are accepted 	A3RD486RQUI2XV
What happens if an employer and union reach a deadlock in negotiations and can not agree on all the terms of the collective bargaining agreement 	I do not know what happens if an employer and union reach a deadlock in negotiations and can not agree on all the terms of the collective bargaining agreement 	A3I9FTHSULHPYS
What subscription options are available 	I do not know what subscription options are available 	A185P3B2MC2K83
Does the museum offer discounted membership rates for students or seniors 	I do not know if the museum offers discounted membership rates for students or seniors 	ARKAJ6PL85CME
How much does it cost to join 	I do not know how much it costs to join 	A2NI2HSU84PHJW
Do I need to audition for classes 	I do not know if you need to audition for classes 	A2HKTM4Z8652
Are Kia vehicles sold nationwide 	I do not know if Kia vehicles are sold nationwide 	AQ9Y6WD8O72ZC
I would like to withdraw cash from my account 	I am not able to help you withdraw cash from your account 	A1YKWG46AWMPUX	
I would like to know the status on my application that I have submitted 2 days ago	I am not able to tell you the status on the application that you have submitted 2 days ago	AYJGJAIY0EXW
Do you sell matcha in tea bags 	I do not know if we sell matcha in tea bags 	A3SS1F4F3JE7CU
Are there vending/dining facilities on-site 	I do not know if there are vending machines located at those facilities 	A9A2IX3OBORBE
What are the different fields of study in data mining 	I do not know the different fields of study in data mining 	A2K9PB0U45O0MU
When will I get my package delivered from you 	I do not know when you package from us will be delivered 	AE9M4Z1NCYSDM	
You sent me the wrong item	I am not able to assist you with a wrong item sent 	AXY0D2AMLKE2A
Why would the laws of Maryland apply to disputes with this program 	I do not know why they would apply 	A1DWQO9X2ZQ35G
Do these soak up water well	I do not know if these soak up water well 	A31A4YKVSOYRVS	
Do you know when this item typically ships 	I do not know when this item typically ships 	A8F4B0854KTXO	
Is there a chance I can pay once for a yearly subscription instead of monthly 	I do not know if you can pay once for a yearly subscription instead of monthly 	A3RD486RQUI2XV
After I have applied online , how can I contact a hiring manager or a recruiter 	I do not know how you can contact a hiring manager or a recruiter 	A3G2FBKYCRD5Q8
What would be the easiest way to split my balance between two accounts 	I do not know the easiest way to split your balance between two accounts 	A3VV5FFG6GXE1S	
What constitutes a ' public ' screening 	I do not know what constitutes a public screening 	A13GUTDMGGZZDL
When do I need to provide my financial statement 	I do not know when you need to provide your financial statement 	A16VTK6KZ1U69H
How old is the Virginia Zoo 	I do not know how old the Virginia Zoo is 	A3RD486RQUI2XV
How can I subscribe to Kia 's Open Road Magazine 	I do not know how you can subscribe to Kia 's Open Road Magazine 	A3NZLRU95OULXB
What kinds of legal processes are there that would request customer information from CenturyLink 	I am not able to tell you the kinds of legal processes that would request customer information from CenturyLink 	AT7ADQKXKXEWY
I do n't have a credit card , can I still buy tickets online 	I do not know if you can still buy tickets online without a credit card 	A2LQ9NP944M61Z
Where can I get a scholarship application form 	I do not know where you can get a scholarship application form 	A9LX66EQWDRQ5
Where can I find the store nearest to me	I do not know where the store nearest you is 	AJ7MWBQFNH3E4
Could someone who is n't good with technology figure out how to use this product 	I do not know if someone who is n't good with technology could figure out how to use this product 	A31A4YKVSOYRVS	
How should I dress for my audition 	I do not know how you should dress for your audition 	APC99TPURUHR8
Will I be able to receive calls and text messages while browsing the Web with att.net 	I do not know if you 'll be able to receive calls and text messages 	A13GUTDMGGZZDL
Can I defer a position once offered and accepted 	I do not know if you can defer a position once offered and accepted 	A3G2FBKYCRD5Q8
Can I recline my seat 	I do not know if you can recline your seat 	A7SXWHGK8B40R
Does Beiersdorf also produce goods for other retail brands 	I do not know if Beiersdorf also produces goods for other retail brands 	A9LX66EQWDRQ5
Where can I find class prices 	I do not know where you can find class prices 	A1X3SF2W1QQBY1
Is there a charge to see the DAR Museum 	I do not know if there is a charge to see the DAR Museum 	A9LX66EQWDRQ5
I placed an order yesterday , and wanted to know if I could change to expedited shipping 	I do not know if you can change it to expedited shipping 	AD9O852KPYLHY	
What if it rains during my visit 	I do not know what happens if it rains during your visit 	A2NI2HSU84PHJW
Is this your newest product 	I do not know if this is our newest product 	A3G2FBKYCRD5Q8	
Is the activity cancelled if it rains	I do not know if the activity is cancelled if it rains 	A1JBSFXMMRGSQD
How do I sign up for multi-factor authentication 	I do not know how you sign up 	A13GUTDMGGZZDL
What should I do if I forget my account Password	I do not know what can be done if you have forgot your account password 	A234VIHHUHPZG5
If I 'm late with my check is there a fee 	I do not know if there is a late fee 	AJKA9BKC011F2
What documents do I need to visit Guatemala	I do not know what documents you need to visit Guatemala 	A3G2FBKYCRD5Q8
Can I make a reservation using your mobile app 	I do not know if you can make a reservation using our mobile app 	A2IXBTOWQRCLPZ	
Can I visit England on a budget 	I am not able to tell you if you can visit England on a budget	APF1EAZT104LQ
What makes it a right whale 	I do not know why the animal is called a right whale 	A16NITTBMCSN0V
Should an employer monitor or restrict the use of Google Glass in the workplace 	I do not know if an employer should monitor or restrict the use of Google Glass in the workplace 	A7SXWHGK8B40R
Can my bill due date be extended by two weeks 	I do not know if your bill due date can be extended by two weeks	AYJGJAIY0EXW
Can I bring food and beverages to the Zoo 	I do not know if you can bring food and beverages to the Zoo 	A3I9FTHSULHPYS
When someone agrees to finance the purchase of a car with my dealership , they sign a retail installment contract . I immediately assign the contract to a third party lender . Do I have to give a privacy notice to the purchaser 	I do not know if you have to give a privacy notice to the purchaser 	ARKAJ6PL85CME
Is there anything I should n't bring 	I do not know if there is anything you should n't bring 	AZLZA0Q87TJZO
