It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
What should my dancer wear to class 	I do not know what your dancer should wear to class 	A116N2LEI6O7HB
What is the difference between soft and hard shell crabs 	I do not know the difference between soft and hard shell crabs 	A2UBEPT605E8T2
How do I make arrangements to bring in a large group 	I do not know how you can make arrangements to bring in a large group 	A18KR781AUQBA6
Does Coffee Cause Cancer 	I do not know if coffee causes cancer	A23CTGXNDDW5LC
What are your upcoming events 	I do not know what the upcoming events are 	A2K2MFQMN31DZ
Can I put a pause on my membership instead of canceling outright	I do not know if you can put a pause on your membership instead of cancelling outright 	ASFR82SJYMGNU
How do I review resumes attached to my requisition 	I do not know how you review resumes attached to your requisition 	AWAW665TQQP2F
What areas or locations are considered eligible for museum or historic site signs 	I do not know which areas or locations that are considered eligible for museum or historic signs 	A2K9PB0U45O0MU
Do you have picnic areas 	I do not know if we have picnic areas 	A16VTK6KZ1U69H
How large should my water stand be 	I do not know how large your water stand should be 	A3RD486RQUI2XV
What if I ca n't find my student organization 	I do not know what to do if you ca n't find your student organization 	A3I9FTHSULHPYS
What is the difference between Background Only , Personalized and 7-Letter Personalized 	I do not know the difference between Background Only , Personalized and 7-Letter Personalized 	AT7ADQKXKXEWY
How do I verify , add or update my email address on my license record 	I do not know how to verify , add or update an email address 	A325WS381BHOHH
I have a disability , how can I participate in the testing process 	I do not know how you can participate in the testing process 	A2K2MFQMN31DZ
Can I return an item online if I bought it in store	I do not know if you can return an item online if you bought it in store	A23CTGXNDDW5LC
What type of lessons do you offer	I do not know what type of lessons we offer 	AZLZA0Q87TJZO
I wanted to buy this item but it 's sold out online . When might it be restocked 	I am not able to tell you when the sold out online item might be restocked	AYJGJAIY0EXW
Can I reproduce works from BAMPFA exhibitions and collections 	I do not know if you can reproduce works 	A13GUTDMGGZZDL
Will you refund my shipping charges 	I am not able to refund your shipping charges 	A3VV5FFG6GXE1S	
I need to have my package delivered at a much later time , can you please make this happen for me 	I am not able to make this happen for you	3T8DUCXY0NY8G26OEKCQWPG5Y569TK
I placed an order yesterday , and wanted to know if I could change to expedited shipping 	I do not know if you can change it to expedited shipping 	AD9O852KPYLHY	
I received an email from the bank asking for my banking info ; is this a legitimate email 	I do not know if this a legitimate email 	A31A4YKVSOYRVS	
How much is shipping , and what shipping options are available 	I do not know how much shipping is or what options are available 	A13GUTDMGGZZDL
Where / How do I register my group 	I do not know where or how you register your group 	A13GUTDMGGZZDL
How long will it take to process my membership 	I do not know how long it will take to process your membership 	A116N2LEI6O7HB
My stress level is through the roof . It seems as if no one believes in cooperation any more . Any ideas before I hurt myself 	I am not able to give you any ideas	A1CMT9MVUO52VP
What if I have a previous injury or medical condition 	I do not know what you should do if you have a previous injury or medical condition 	A2HKTM4Z8652
Can you give me advice on what phone to buy 	I am not able to give advice on what phone to buy 	30UZJB2POH4KGY6IWFTI2W75IAA538
I just got a call regarding my appointment saying that the time I 've chosen will not be available . When is the next available appointment 	I do not know when the next available appointment will be 	3RKHNXPHGWO7XB44IMTPRUGNSDOUKP
Do I need to buy dance shoes for my beginning class 	I do not know if you need to buy dance shoes for your beginning class 	A2D0IIX70FDQIW
I have a question about assembling an item I purchased online . Who do I talk to for help with the process 	I do not know who you can talk to about assembling an item 	3ZG552ORAMWCTAPEY6XQNKWCPKC2V1
May I have a confirmation number 	I am not able to give you a confirmation number 	A31A4YKVSOYRVS	
How do I arrange a group visit or tour 	I do not know how to arrange a group visit or tour 	A9LX66EQWDRQ5
Who should I contact if I need assistance completing the online application 	I do not know who you should contact if you need assistance completing the online application 	A7SXWHGK8B40R
What about other special restrictions 	I am not able to tell you about the other restrictions 	A3RD486RQUI2XV
I put in your website address and it says ` page not found . ' What is your correct website address 	I do not know our correct website address 	3NI0WFPPI98KIA7ZIBL4S4NYBT106O
What are your hours of operation at your Wag Hotels locations 	I do not know what the hours of operation are at our Wag Hotels locations 	A7SXWHGK8B40R
Is the globe still warming today 	I do not know if the globe is still warming today 	A3G2FBKYCRD5Q8
Does united.com charge any booking fees or service fees to make a reservation 	I do not know if united.com charges a booking fee or service fees to make a reservation	A1CMT9MVUO52VP
Can you tell me if your delivery driver can leave my order at my door ? I wo n't be home until evening but I want to receive my parcel 	I am not able to tell you if your driver can leave your parcel 	3DQYSJDTYL3WSF6PR5T9D62M2Y9XE0
Do we have to take part in the performances 	I do not know do we have to take part in the performances 	A3SS1F4F3JE7CU
Does the animal feed contain peanuts 	I do not know if the animal feed contain peanuts 	A3RD486RQUI2XV
How many people are in your group classes 	I do not know how many people are in our group classes 	A1J0GU26323WVA
What is a good lease deal 	I do not know what a good lease deal is 	A5VBIZ2KIQ1R8
Can you give me an idea as to how long a package should take ? I feel like this is taking too long	I am not able to give you an idea as to how long a package should take	33TGB4G0LP9YHYOMH0I4CS2N58WXTQ
Is the price negotiable 	I do not know if the price is negotiable 	A2K9PB0U45O0MU
How do I get in contact with the Online Store Team 	I do not know if you can get in contact with the online store team 	A2NI2HSU84PHJW
How do I find information 	I do not know how you can find information 	A3CL6GEDFNQGQY
Do you know what my 3 biggest transactions were 2 months ago 	I do not know what your 3 biggest transactions were 2 months ago 	A9LX66EQWDRQ5	
Can I get a new debit card 	I do not know if you can get a new debit card 	A325WS381BHOHH	
What is the GRE institution code 	I do not know what the GRE institution code is 	A2K2MFQMN31DZ
When will yesterday 's order arrive , and is there tracking I can check 	I do not know when your order arrives or if you can track it 	A113OGTB578EF6	
Once an item has been saved for later how long will it remain in the system 	I do not know once an item has been saved for later how long it will remain in the system 	A1JBSFXMMRGSQD
How long will boxed chocolates last 	I do not know how long boxed chocolates will last 	A9LX66EQWDRQ5
Are visitors permitted to sketch in the Museum 	I do not know if visitors are permitted to sketch in the Museum 	A1J0GU26323WVA
If I upgrade to a new device , will the charge go directly to my bill 	I do not know if the charge will go directly on to you bill if you upgrade to a new device 	A3RD486RQUI2XV
Will the Museum only feature artists that have won a Grammy 	I do not know if the Museum will only feature artists that have won a Grammy 	A9LX66EQWDRQ5
Can you check my account ? I think there is an order I did n't place 	I am not able to check your account	3VZYA8PITOQOZ67LDSBZ0Y9YFYQ50D
Can I get my account number	I am not able to give you your account number 	AD9O852KPYLHY	
What if I no longer have access to the email address associated with my account	I do not know if you have access to the email address associated with your account 	A1QX1RYLCFXZJ9
How should an employer cut through ' canned interview responses ' to get the information it really needs 	I do not know how an employer would cut through ' canned interview responses ' in order to get the information it needs 	A2VIKCIM9TZL22
Why is my account suspended 	I do not know why your account is suspended	A23CTGXNDDW5LC	
If an item is actually no longer in stock , why was I allowed to put it in my shopping cart and purchase it	I do not know why the item was able to be placed in the cart 	AEXWOFM1LGS6U
Is there over draft coverage protection offered with this account 	I am not able to determine if there is over draft coverage protection offered with this account 	AJQGWGESKQT4Y
What changes are being made to the building 	I am not able to tell you what changes are being made to the building 	A116N2LEI6O7HB
I want to preorder a game that is not available for 2 more months . Can I change my payment method later if I want to or do I have to keep the payment method I choose when I pre-order the game 	I do not know if you can change your payment method later 	3ZICQFRS31AJ85X0OAV7V1JFY4GZZ5
Is it possible to add an authorized user to my account 	I do not know if it is possile to add an authorized user to your account 	AD9O852KPYLHY	
Do you offer group rates for field trips 	I do not know the group rates for field trips 	A2NI2HSU84PHJW
As a senior citizen -LRB- age 62 or older -RRB- , am I eligible for any discount 	I do not know if you are eligible for any discount 	A7SXWHGK8B40R
What are some examples of what it looks like to live within one planet in a developed nation 	I do not know what some examples are 	A13GUTDMGGZZDL
I can not access the online application . What should I do 	I do not know how to access the online application 	A2NI2HSU84PHJW
I booked a room in your hotel for two adults . My niece will be staying with us that night . Can I add a child to the room as well 	I do not know if you can add a child 	372AGES0I4XL1JBUDBD9CD15HNZXRD
What is Dumping 	I do not know about dumping 	ABN6GDFW4N8AK
How do I check my account 	I do not know how you check your account 	A3GNQDFPZALU92	
Does your company run background checks on its workers 	I do not know if our company runs background checks on its workers	A23CTGXNDDW5LC	
What questions can a covered entity 's employees ask to determine if a dog is a service animal 	I do not know what questions a covered entity 's employees can ask to determine if a dog is a service animal 	A1JBSFXMMRGSQD
If our organization has less than 50 employees , can we still purchase People-Trak HR Software 	I do not know if you can purchase People-Trak HR Software if your organization is less than 50 employees 	A2LQ9NP944M61Z
How can I qualify for free shipping 	I do not know how you can qualify for free shipping 	ASFR82SJYMGNU
Can I make a return at a physical store for an online purchase 	I do not know if you can make a return at a physical store for an online purchase	A23CTGXNDDW5LC
How do I cancel my order 	I do not know how you cancel your order 	AD9O852KPYLHY	
What is the privacy policy of your company 	I do not know the privacy policy of our company 	A3RD486RQUI2XV
Are there any points or rewards that I can use 	I do not know if there are any points or rewards that you can use 	A2YQAE441JMA7V	
Can I purchase admission tickets at the ticket office for a different day 	I do not know if you can purchase tickets for a different day 	A13GUTDMGGZZDL
I accidentally made a double purchase of the exact same item online . Would i be able to cancel the duplicate order and get a refund 	I am not able to cancel the duplicate order and offer you a refund 	3TRB893CSJ20XEWPFNFZJAAADLA7GX
What is a teaching museum 	I do not know what a teaching museum is 	A13GUTDMGGZZDL
What days are the Museum open 	I do not know which days the museum is open 	A2NI2HSU84PHJW
Is there a membership fee 	I do not know if there is a membership fee 	APC99TPURUHR8
When do you expect to have the item back in stock 	I do not know when we expect to have item back in stock 	A9LX66EQWDRQ5	
Where do I have to apply to get my visa 	I do not know where you have to apply to get your visa 	A7SXWHGK8B40R
Is there a special shipping cost for Hawaii 	I do not know if there is a special shipping cost for Hawaii 	A1JBSFXMMRGSQD
I followed all the directions , but the wok still burnt all my food right up , now I have nothing to serve . What did I do wrong 	I do not know why the wok burnt your food 	37Y5RYYI0PXX2YB7S0DE2N613PIXS1
What employer actions are prohibited by the Occupational Safety and Health Administration -LRB- OSHA -RRB- 's Whistleblower Statute 	I do not know anything about the Occupational Safety and Health Administration Whistleblower Statute 	A2K9PB0U45O0MU
I am already a member . What will happen to my membership now that it is free 	I do not know what will happen to your membership that that it is free 	A3SS1F4F3JE7CU
I recently moved to this area . Do you have any discounts for a new homeowner 	I do not know if we have any discounts for a new homeowner 	3QD8LUVX4XQWWWDWG4069CW9P5AX5Z
What is the best advice you can give me on returning an item that is damaged after a couple times being used 	I am not able to give you any advice 	A113OGTB578EF6	
May I terminate an employee for a safety violation 	I am not able to terminate an employee for a safety violation 	A3RD486RQUI2XV
How was the new building funded 	I do not know how the new building was funded	A23CTGXNDDW5LC
How do I install slides or get installation INSTRUCITONS	I do not know how to install slides or get installation instructions 	A1BQI9JKLVCIL0
Do you have any mezzanine seats still available for the play 	I do not know if any mezzanine seats are still available for the play 	A3VV5FFG6GXE1S	
I 'd like to pick up my order at the nearest store , how can I do this 	I do not know how you can pick up your order at the nearest store 	A185P3B2MC2K83
Do you have any special offers going on right now 	I do not know if there are any special offers going on right now 	AD9O852KPYLHY	
Does everything in the museum belong to the Crows 	I do not know if everything in the museum belongs to the Crows 	A116N2LEI6O7HB
Do volunteers wear uniforms 	I do not know if volunteers wear uniforms 	AZLZA0Q87TJZO
Will my employees feel like they work for someone else 	I do not know if your employees feel like they work for someone else 	A14M2EERU7E8KD
Do you have parking for disabled visitors 	I do not know if we have parking for disabled visitors 	A2K9PB0U45O0MU
Do you have a website I can go through 	I do not know if we have a website you can go through	A23CTGXNDDW5LC	
What happens if I end up with more guests 	I do not know what happens if you end up with more guests 	A7SXWHGK8B40R
Does Mandalay Bay accept pets 	I do not know if Mandalay Bay accepts pets 	AZLZA0Q87TJZO
Does your product come with a guarantee 	I do not know if our product comes with a guarantee 	A3RD486RQUI2XV
I received my order from your company yesterday . Can you tell me why the camera I bought arrived broken 	I am not able to tell you why the camera arrived broken 	3KI0JD2ZU1AY0L7J3A6D7JXLJ7776V
Can I experience the DAR Museum without visiting Washington , D.C. 	I do not know if you can experience the DAR Museum without visiting Washington , D.C	A8O98QNRG9SHV
Can I have store credit 	I do not know if you can have store credit 	AD9O852KPYLHY	
What number can I call to talk to a real customer service rep	I do not know what number you can call to talk to a customer service rep	A1HQRT1UG6ERGL
Our company uses the ' seven-minute rule ' for computing time worked -LRB- if the employee punches in at 8:08 , it is actually considered 8:15 -RRB- . This is done on both start and finish times . We are now in a situation where we have to show that this is indeed a legal way to compute time worked . Is there a Department of Labor -LRB- DOL -RRB- rule allowing this practice 	I do not know if there is a DOL rule allowing a company to use the ' seven-minute rule ' for computing time worked for start and finish times , so that you can show it is a legal way to compute time worked 	A1JBSFXMMRGSQD
Do I have to pay an employee who reports to work 	I do not know if you have to pay an employee who reports to work 	A7SXWHGK8B40R
What is your cancellation policy for private lessons	I do not know the cancellation policy for private lessons 	A8O98QNRG9SHV
Can I expedite shipping on my package 	I do not know if you can expedite shipping on your package 	A1NDM9R54FJMPW	
Can you stop sending me fax invoices 	I am not able to stop sending you fax invoices 	AMW07CJC3OJIB
Can I return an item in-store if I ordered it online 	I do not know if you can return an item in-store if you ordered it online 	A3GNQDFPZALU92	
What is the Early Bird rate 	I do not know the rate 	A1DWQO9X2ZQ35G
Can I add items to an order I just placed 	I do not know if you can add items to an order you just placed 	AE9M4Z1NCYSDM	
What is the yearly interest earned on the savings account 	I do not know what is the yearly interest earned on the savings account 	AHGM882UX7S4T	
Which office do I contact for claims assistance 	I do not know which office you contact for claims assistance 	A1GAARR4GOOZCO	
I need to change my address . How do I do that 	I do not know how you do that	3TLFH2L6Y9GXGILPTBXBM28RSZW2TL
What kind of art is on display at the museum 	I do not know what kind of art is on display at the museum 	A2K2MFQMN31DZ
Can I view artwork from the permanent collection that is n't on view 	I do not know if you can view artwork from the permanent collection that is n't on view 	A3I9FTHSULHPYS
Do you charge sales tax 	I do not know if we charge sales tax 	A9LX66EQWDRQ5	
Do you know when this item typically ships 	I do not know when this item typically ships 	A8F4B0854KTXO	
What is the expected delivery date of my order	I do not know what the expected deliver date of your order is 	A325WS381BHOHH	
How long will it take to refund my money 	I do not know how long it will take to refund your money 	A31A4YKVSOYRVS	
What happens if I return a pass late 	I do not know what happens if you return a pass late 	A2NI2HSU84PHJW
What are the age requirements 	I do not know what the age requirements are 	A325WS381BHOHH	
Can I exit and re enter the park 	I do not know if you can exit and re-enter the park 	A13GUTDMGGZZDL
What is inside belVita Breakfast Biscuits , Golden Oat 	I do not know what is inside belVita Breakfast Biscuits , Golden Oat 	A1JBSFXMMRGSQD
Why do n't you have the Metropolitan , MOMA , etc. 	I do not know why we do n't have the Metropolitan , MOMA , etc. 	A9LX66EQWDRQ5
Arabica vs. Robusta : What is the difference 	I do not know what the difference is between Arabica vs. Robusta 	A1J0GU26323WVA
ARE GENERAL ADMISSION TICKETS AVAILABLE	I do not know if general admission tickets are available 	A8O98QNRG9SHV
How long is the train ride 	I do not know how long the train ride is 	A16VTK6KZ1U69H
Does your company have an app 	I do not know if our company has an app 	A7SXWHGK8B40R
Can you tell the delivery person to knock instead of ring the door bell 	I am not able to tell the delivery person to knock instead of ring the door bell 	AD9O852KPYLHY	
Can you give me my confirmation number 	I am not able to give you your confirmation number 	A31A4YKVSOYRVS	
What dances can I learn in group lessons 	I do not know what dances you can learn in group lessons 	A1IPD4WBT3A5GG
I have to cancel my current flight and would like to find one tomorrow . Can you give me a list of current flights and prices 	I am not able to give you a list of current flights and prices	3JMQI2OLFZXMOFELT4VG9MT308YNDD
When can I expect it to clear my account	I do not know when you can expect it to clear your account 	A1YKWG46AWMPUX	
Are the Vatican Museums part of the network of museums that can be visited with the Roma Pass 72 Hours and/or Roma Pass 48 Hours 	I do not know if the Vatican Museums are a part of the Roma Pass 72 Hours and/or the Roma Pass 48 Hours 	A2VFX3J4B1I22X
What is financial literacy 	I do not know what financial literacy is 	A3R71HP45TBQ7O
Can I use someone else 's credit card for the rental 	I do not know if you can use someone else 's credit card for the rental 	AD9O852KPYLHY	
Is there a user manual or online help available to assist users with Time Collection inquiries and issues 	I do not know if there is online help or a user manual for Time Collection inquiries and issues 	A3NZLRU95OULXB
What subjects do you offer 	I do not know what subjects we offer 	A1J0GU26323WVA
Can you explain the difference between package A and B 	I am not able to explain the difference between package A and B	A2IXBTOWQRCLPZ	
What choices do I have regarding my information 	I do not know what choices you have regarding your information 	A2EJ7U3TZAKROG
What Are the Benefits to me 	I do not know what the Benefits are 	A234VIHHUHPZG5
Can I put a hold on my order 	I am not able to put a hold on your order 	A9LX66EQWDRQ5	
Can I bring gifts and decorations 	I do not know if you can bring gifts and decorations 	A2N9AKAOR17XB3
Do you have Nerf footballs	I do not know if we have Nerf footballs 	A1IMXDZOTXABBE	
What can I do to upgrade 	I do not know what you can do to upgrade 	A31A4YKVSOYRVS	
What other vouchers does the Welsh Mountain Zoo accept 	I do not know what vouchers the Welsh Mountain Zoo accepts 	A3U6CLX7HD0SMF
Can my online order be gift wrapped and delivered to the person I 'm giving it to 	I do not know if you can gift wrap online orders 	A39MKVROUZ1UWR
When did companies first start to make tinned coffee 	I do not know when companies first started to make tinned coffee 	A2NI2HSU84PHJW
Can I lawfully terminate an employee for Absenteeism	I do not know if you can lawfully terminate an employee for absenteeism 	A13GUTDMGGZZDL
Do the shoes come with insoles 	I do not know if the shoes come with insoles 	A3VV5FFG6GXE1S	
How many different financial options do you have available 	I do not know how many different financial options we have available 	A31A4YKVSOYRVS	
How is the diameter of Lodge cookware determined 	I do not know how the diameter of Lodge cook ware is determined 	A2K9PB0U45O0MU
How to change the administrative or technical contact 	I do not know how to change the administrative or technical contact 	A1XNCA1SVTT15B
The consignment store closed went out of business before I my items were sold and I would like the items returned to me 	I am not able to help you with your items 	3VQTAXTYN3D6480AC9GWSRXX5JFUB5
May an employer count the time when the business is closed due to inclement weather against an employee 's allotment of Family and Medical Leave Act -LRB- FMLA -RRB- leave 	I do not know if an employer may count the time when the business is closed due to inclement weather against an employee 's allotment of Family and Medical Leave Act -LRB- FMLA -RRB- leave 	A2EJ7U3TZAKROG
Why was my merchandise delayed 	I do not know why your merchandise was delayed 	ASFR82SJYMGNU
Does your copy machine keep images of what 's copied 	I do not know if our copy machine keeps images of what 's copied 	A325WS381BHOHH	
What type of print material goes along with the video lessons 	I do not know what type of print material goes along with the video lessons 	A2115OWJ0CKOB3
How can I perform with The Dance Cooperative and its resident and guest choreographers 	I do not know how you can perform with The Dance Cooperative 	A3RKYD8IUC5S0N
Can I make a post sale adjustment 	I do not know if you can make a post sale adjustment 	A3GNQDFPZALU92	
How do we pay 	I do not know how you pay 	A2HKTM4Z8652
Where can I get a newsletter for your products 	I do not know where you can get a newsletter for our products 	A3RD486RQUI2XV
How do I change features on a line in the My Verizon app 	I do not know how to change features on a line in the My Verizon app 	A2K9PB0U45O0MU
Can I delete my account or profile 	I do not know if you can delete your account or profile 	A3G2FBKYCRD5Q8
What time is my appointment 	I do not know what time your appointment is 	A3LNWUYXJH1EUC
What is Interest-Based Bargaining 	I do not know what Interest-Based Bargaining is 	A1J0GU26323WVA
Who is not eligible for jury service 	I do not know who is not eligible for jury service 	A3RD486RQUI2XV
What are the hours of operation 	I do not know the hours of operation 	A235UQRA8GE18X
Is there a HUBZone logo that HZ SBCs can use/incorporate into their website and other marketing material 	I do not know if there is a HUBZone logo that HX SBCs can use/incorporate into their website and other marketing material 	A1IMICF9ISISZN
Why Audience of One Dance 	I do not know the audience of one dance 	A3722NOMVUK89T
What can I do if I do n't agree with a voided warranty decision 	I do not know what you can do if you do n't agree with a voided warranty decision 	A7SXWHGK8B40R
Can I get a copy of your W9 	I am not able to give that to you 	A1DWQO9X2ZQ35G
Do I need to register each single-patient investigational new drug application -LRB- IND -RRB- or protocol exception -LRB- including for emergency use -RRB- separately 	I do not know if you need to register each single-patient investigational new drug application -LRB- IND -RRB- or protocol exception -LRB- including for emergency use -RRB- separately 	A116N2LEI6O7HB
Do rooms have air conditioning 	I do not know if rooms have air conditioning 	A3B2YRXL26RPVH
I want to know your policy on returns , specifically the time limit 	I do not know our policy on returns 	A325WS381BHOHH	
Where can I view upcoming poker tournaments 	I do not know where you can view upcoming poker tournaments 	A3I9FTHSULHPYS
Do you offer summer dance classes & workshops 	I do not know if it 's offered 	A2NI2HSU84PHJW
Do you rent studio space for rehearsals 	I do not know if we rent studio space for rehearsals 	A2K2MFQMN31DZ
What kind of art is in the permanent collection 	I do not know which kind 	A1DWQO9X2ZQ35G
Who is eligible for the senior group rate 	I do not know who is eligible for the senior group rate 	A1J0GU26323WVA
How are merit increases processed when reclassifications or other salary increases become effective 	I do not know how merit increases are processed when reclassifications or other salary increases become effective 	A1X3SF2W1QQBY1
Do you provide accessibility aids such as strollers , wheelchairs , hearing-assistive devices , etc. . 	I do not know if provide accessibility aids such as strollers , wheelchairs , hearing-assistive devices , etc. 	A2K9PB0U45O0MU
What does the term disconnect refer to 	I do not know what the term disconnect refers to 	A1JBSFXMMRGSQD
My honey has become solid -LRB- crystallized -RRB- . Is it still good 	I am not able to tell you if your solid , crystallized honey is still good 	AT7ADQKXKXEWY
I would like to deactivate my account 	I am not able to deactivate your account 	AMELZJ4P3IIJH
Is this a place for only those who dance professionally 	I do not know if this is a place for only those who dance professionally 	A2EJ7U3TZAKROG
How do I sign up or change my direct deposit information 	I do not know how you can sign up or change your direct deposit info	APF1EAZT104LQ
Do you provide audio tours in the museum 	I do not know if the museum provides audio tours 	A8O98QNRG9SHV
I ca n't remember my password , would you be able to help me gain access to my account 	I am not able to help you gain access to your account	33K3E8REWWNFJEWYE279LW60RVBX81
Must overtime be paid according to a Monday-to-Friday , 9-to-5 schedule 	I do not know if overtime must be paid according to a Monday-to-Friday , 9-5 schedule 	A116N2LEI6O7HB
Is the Museum open every day 	I do not know if the museum is open every day 	A2NI2HSU84PHJW
Could someone who is n't good with technology figure out how to use this product 	I do not know if someone who is n't good with technology could figure out how to use this product 	A31A4YKVSOYRVS	
I got this bill in the mail but I just pay pay it two weeks ago online . I still have my confirmation number and I need to know what 's going on 	I am not able to help you with your payments 	375VSR8FVW1A6EB9ET1U9YHGPNXZRC
I need to return the polo I bought because it has a hole in it . What is the address for returns 	I do not know what the address for returns is	3Z33IC0JC0ENTUADJFC5X74QVQM9V0
Can I purchase tickets to the shows without purchasing a resort package	I do not know if you can purchase tickets to the shows without purchasing a resort package 	A9LX66EQWDRQ5
What is meant by ' no tax liability ' in the exceptions to the estimated tax penalty 	I am not able to tell you what ' no tax liability ' means in the exceptions to the estimated tax penalty 	AT7ADQKXKXEWY
How can I help spread the word 	I do not know how you can help spread the word 	A11IEP7J8XSE1C
When will my order arrive in the mail 	I do not know when your order will arrive in the mail 	A8F4B0854KTXO	
I used to see my Personal Details in Sussex Direct and could update my home address . Will I still be able to do this 	I do not know if you 'll still be able to see your Personal Details in Sussex Direct or update your home address 	APC99TPURUHR8
I would like to change my automatic newspaper delivery service to only include the Sunday paper instead of the daily service 	I am not able to change your automatic newspaper delivery service to only include the Sunday paper instead of the daily service	3LCXHSGDLTYOWYKQXVNMEYLUNJ7SEN
Can I sit in the exit row 	I do not know if you can sit in the exit row 	A1X3SF2W1QQBY1
What is the Kia 10-Year/100 ,000-Mile Warranty Program 	I do not know what the Kia 10-Year/100 ,000-Mile Warranty Program is 	A3RD486RQUI2XV
Do you carry Polo 	I do not know if we carry Polo 	A3GNQDFPZALU92	
How do I search for assistance 	I do not know how you can search for assistance 	A8O98QNRG9SHV
I need to change the credit card you bill to 	I am not able to change the credit card we bill to 	A31A4YKVSOYRVS	
Where do I find definitions for terms referenced in the policy 	I do not know where you find definitions for terms referenced in the policy 	A16VTK6KZ1U69H
Where on the bill does it show my device payment line credits and charges 	I do not know where on the bill it shows device payment line credits and charges 	A2ZBJWQ9ZZHYYI
Is there a shop at the Museum 	I do not know if there is a shop at the Museum 	A3I9FTHSULHPYS
How far in advance do I need to register my group visit 	I do not know how far in advance you need to register your group visit 	A2RHBR7XZGUI1C
Is smoking marijuana permitted at your property 	I am not able to tell you if smoking marijuana is permitted 	A2UBEPT605E8T2
How do I find information on encounters 	I do not know how you find information on encounters 	A7SXWHGK8B40R
When do you close 	I do not know when we close 	A3VV5FFG6GXE1S	
What is a product key 	I do not know what a product key is 	A1XNCA1SVTT15B
How can I reduce static and noise on my phone 	I do not know how to reduce static and noise on your phone 	AI3HPZQC9GMBY
Do I have to pay the yearly fee in full or can it be paid monthly 	I do not know if you have to pay the yearly fee in full or if it can be paid monthly 	A2IXBTOWQRCLPZ	
When does collective bargaining between Princeton and our unions take place 	I do not know when collective bargaining between Princeton and our unions will take place 	A1NF93LWL8ABHH
What charges should I expect on my End of Term Invoice after I turn in my vehicle 	I do not know what charges should you expect on your End of Term invoice after you turn in your vehicle 	A3SS1F4F3JE7CU
How much is the entry fee 	I do not know how much the entry fee is 	A2LQ9NP944M61Z
Where can I locate care instructions on your website for a product I just purchased 	I do not know where on our website to locate care instructions for the product you just purchased 	AMELZJ4P3IIJH
How can you ensure the integrity of your games 	I do not know how we can ensure the integrity of our games 	A2HKTM4Z8652
How do I contact ClinicalTrials.gov if I have a question about my study record 	I do not know how to contact ClinicalTrials.gov for your question	APF1EAZT104LQ
Can I pay by card and is there a minimum spend 	I do not know if you can pay by card or if there is a minimum spend 	A1X3SF2W1QQBY1
Can you make a blanket out of my tshirts 	I am not able to make a blanket out of your tshirts	A23CTGXNDDW5LC	
Does insurance affect my eligibility 	I do not know if insurance affects your eligibility 	A3U6CLX7HD0SMF
My package has n't arrived , and I was wondering if you could provide me with the tracking number 	I am not able to provide you with the tracking number 	AD9O852KPYLHY	
Will I lose time on my membership if I renew early 	I do not know if you will lose time on your membership if you renew early 	A1RVRBKEQL1ZPG
Do you have this product available 	I do not know if we have this product available 	A185P3B2MC2K83
Is this shampoo safe for color treated hair 	I do not know if you this shampoo is safe for color treated hair 	AE9M4Z1NCYSDM	
My friend told me that you will do price matching on certain items . Can you meet the price I found on this Walmart ad 	I am not able to meet the price 	3KI0JD2ZU1AY0L7J3A6D7JXLJ7776V
What do I do if I open the box and the item is damaged 	I do not know what you do if you open the shipping box and the item is damaged 	A1GAARR4GOOZCO	
What happens after I download 	I do not know what happens after you download 	A2RHBR7XZGUI1C
When is it appropriate to recruit on a Career Ladder 	I do not know when it is appropriate to recruit on a Career Ladder 	A2ZBJWQ9ZZHYYI
Can those fruit baskets be delivered out of town 	I do not know if those fruit baskets can be delivered out of town 	A1YKWG46AWMPUX	
What 's included in my monthly tuition 	I do not know what 's included in your monthly tuition 	A3THR2UWGQNVX4
How do I make an exchange on an item	I do not know how to make an exchange on an item 	AJNQ2PBD07FKE
When is the last day I can order to guarantee delivery before Christmas 	I do not know the last day you can order to guarantee delivery before Christmas 	A31A4YKVSOYRVS	
Is there a minimum charge for this moving service 	I do not know if there is a minimum charge 	AD9O852KPYLHY	
What is the FOMC and when does it meet 	I do not know that the FOMC is or when it meets 	A116N2LEI6O7HB
Where can I learn more about how to manage my Amazon account on my mobile device 	I do not know where you can learn more about how to manage your Amazon account on your mobile device	359AP8GAGGCNG2GKD1JGTJPVFTI7CN
Will I have a good teacher 	I do not know if you will have a good teacher 	A3DFNKXIOUFL23
There was a sale for 1 hour to get 50 % off on all items . This customer was already in line but by the time she got to the register the hour has passed . Do we still honor the sale for her 	I do not know if we will still honor the sale for her 	3KWGG5KP6JU615N7H7L5C1MLAIDCM3
Will private group events impact operation hours or the exhibits 	I do not know if private group events will impact operation hours or the exhibits 	A2D0IIX70FDQIW
How do I initiate a software appliance cross border move -LRB- from one country to another -RRB- 	I do not know how you initiate a software appliance cross border move from one country to another 	A2HKTM4Z8652
I cancelled my subscription but I was still charged the month after 	I do not know why you were still charged a month after you cancelled your subscription	AYJGJAIY0EXW
Can eligible hospitals participate in both programs 	I do not know if eligible hospitals can participate in both programs 	A2K9PB0U45O0MU
Should I insure my new phone ? How much will that cost 	I do not know if you should insure your new phone or how much that would cost 	A31A4YKVSOYRVS	
